,date,expName,psychopyVersion,OS,frameRate,idm_task,item,cdd_trial_type,cdd_conf_resp.keys,cdd_conf_resp.rt,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait,cdd_choice,cdd_choice2,cdd_trial_resp.keys,cdd_trial_resp.corr,cdd_trial_resp.rt,cdd_delta_time,cdd_iti_time,cdd_trials1.thisTrialN,cdd_trials1.thisIndex,cdd_catch_trial,cdd_bonus_choice,cdd_bonus_amount,cdd_bonus_delay
940,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,3.0,practice,4.0,1.4243,10.0,0.0,19.0,89.0,,,,,,,,,,,,,
941,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,2.0,practice,4.0,1.1805,25.0,0.0,35.0,150.0,,,,,,,,,,,,,
942,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,1.0,practice,4.0,1.5844,10.0,0.0,65.0,9.0,,,,,,,,,,,,,
943,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,84.0,task,4.0,1.1274,2.0,0.0,65.0,61.0,1.0,delay,2.0,0.0,0.1168,1.8832,3.152154535,0.0,83.0,0.0,,,
944,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,65.0,task,4.0,0.7424,2.0,0.0,7.0,5.0,1.0,delay,1.0,0.0,0.0788,1.9212,2.823850127,1.0,64.0,0.0,,,
945,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,80.0,task,4.0,1.1918,2.0,0.0,7.0,60.0,0.0,immed,1.0,1.0,0.0085,1.9915,2.018952214,2.0,79.0,0.0,,,
946,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,54.0,task,4.0,0.5485,5.0,0.0,15.0,89.0,0.0,immed,2.0,1.0,0.0431,1.9569,3.33611377,3.0,53.0,0.0,,,
947,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,25.0,task,4.0,1.6944,15.0,0.0,65.0,5.0,1.0,delay,1.0,0.0,0.0078,1.9922,2.588303558,4.0,24.0,0.0,,,
948,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,28.0,task,4.0,0.6579,15.0,0.0,65.0,61.0,1.0,delay,1.0,0.0,0.0429,1.9571,2.114839131,5.0,27.0,0.0,,,
949,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,4.0,task,4.0,0.92,15.0,0.0,20.0,59.0,0.0,immed,1.0,1.0,0.117,1.883,2.577465278,6.0,3.0,0.0,,,
950,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,47.0,task,4.0,1.0021,5.0,0.0,65.0,30.0,1.0,delay,2.0,0.0,0.0441,1.9559,3.102377857,7.0,46.0,0.0,,,
951,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,53.0,task,4.0,0.4279,5.0,0.0,9.0,91.0,0.0,immed,1.0,1.0,0.0436,1.9564,3.569521865,8.0,52.0,0.0,,,
952,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,87.0,task,4.0,0.8888,2.0,0.0,22.0,90.0,0.0,immed,2.0,1.0,0.0078,1.9922,3.239687575,9.0,86.0,0.0,,,
953,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,1.0,task,4.0,0.9519,15.0,0.0,19.0,90.0,0.0,immed,1.0,1.0,0.0797,1.9203,3.734907429,10.0,0.0,0.0,,,
954,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,96.0,task,4.0,0.5415,2.0,0.0,1.0,64.0,0.0,immed,1.0,1.0,0.115,1.885,1.91682634,11.0,95.0,1.0,,,
