category,p_reward,value_reward,ambiguity,SV_reward,SV_New_Safe,value_safe,deltaSV
Extr_pos,0.75,50.00,0.0,4.44,2.22,6.00,2.22
Extr_pos,0.50,50.00,0.0,2.96,1.48,2.50,1.48
Extr_pos,0.38,50.00,0.0,2.25,1.12,1.50,1.12
Extr_pos,0.25,50.00,0.0,1.48,0.74,0.50,0.74
Extr_pos,0.13,50.00,0.0,0.77,0.38,0.50,0.38
Extr_pos,0.50,50.00,0.24,2.24,1.12,1.50,1.12
Extr_pos,0.50,50.00,0.5,1.46,0.73,0.50,0.73
Extr_pos,0.50,50.00,0.74,0.74,0.37,0.50,0.37
Zero_Reward,0.75,0.50,0.0,0.00,2.22,6.00,-2.22
Zero_Reward,0.50,0.50,0.0,0.00,1.48,2.50,-1.48
Zero_Reward,0.38,0.50,0.0,0.00,1.12,1.50,-1.12
Zero_Reward,0.25,0.50,0.0,0.00,0.74,0.50,-0.74
Zero_Reward,0.13,0.50,0.0,0.00,0.38,0.50,-0.38
Zero_Reward,0.50,0.50,0.24,0.00,1.12,1.50,-1.12
Zero_Reward,0.50,0.50,0.5,0.00,0.73,0.50,-0.73
Zero_Reward,0.50,0.50,0.74,0.00,0.37,0.50,-0.37
Int_pos,0.75,1.00,0.0,0.74,2.22,6.00,-1.48
Int_pos,0.50,1.00,0.0,0.49,1.48,2.50,-0.99
Int_pos,0.38,1.00,0.0,0.37,1.12,1.50,-0.75
Int_pos,0.25,1.00,0.0,0.25,0.74,0.50,-0.49
Int_pos,0.13,1.00,0.0,0.13,0.38,0.50,-0.26
Int_pos,0.50,1.00,0.24,0.37,1.12,1.50,-0.75
Int_pos,0.50,1.00,0.5,0.24,0.73,0.50,-0.49
Int_pos,0.50,1.00,0.74,0.12,0.37,0.50,-0.25
Int_pos,0.75,4.50,0.0,1.48,2.22,6.00,-0.74
Int_pos,0.50,4.50,0.0,0.99,1.48,2.50,-0.49
Int_pos,0.38,4.50,0.0,0.75,1.12,1.50,-0.37
Int_pos,0.25,4.50,0.0,0.49,0.74,0.50,-0.25
Int_pos,0.13,4.50,0.0,0.26,0.38,0.50,-0.13
Int_pos,0.50,4.50,0.24,0.75,1.12,1.50,-0.37
Int_pos,0.50,4.50,0.5,0.49,0.73,0.50,-0.24
Int_pos,0.50,4.50,0.74,0.25,0.37,0.50,-0.12
Int_pos,0.75,20.50,0.0,2.96,2.22,6.00,0.74
Int_pos,0.50,20.50,0.0,1.97,1.48,2.50,0.49
Int_pos,0.38,20.50,0.0,1.50,1.12,1.50,0.37
Int_pos,0.25,20.50,0.0,0.99,0.74,0.50,0.25
Int_pos,0.13,20.50,0.0,0.51,0.38,0.50,0.13
Int_pos,0.50,20.50,0.24,1.49,1.12,1.50,0.37
Int_pos,0.50,20.50,0.5,0.97,0.73,0.50,0.24
