crdm_sure_amt,crdm_sure_p,crdm_lott_top,crdm_lott_bot,crdm_lott_p,crdm_amb_lev,crdm_domain,crdm_img,crdm_nonzero_side
19.0,100,50.0,0,75,0,gain,risk_red_75.bmp,top
5.0,100,0,50.0,50,0,gain,risk_blue_50.bmp,bottom
2.0,100,50.0,0,38,0,gain,risk_red_38.bmp,top
0.5,100,0,50.0,25,0,gain,risk_blue_25.bmp,bottom
0.5,100,0,50.0,13,0,gain,risk_blue_13.bmp,bottom
2.5,100,0,50.0,50,24,gain,ambig_24.bmp,bottom
0.5,100,0,50.0,50,50,gain,ambig_50.bmp,bottom
0.5,100,0,50.0,50,74,gain,ambig_74.bmp,bottom
19.0,100,0,0.5,75,0,gain,risk_blue_75.bmp,bottom
5.0,100,0.5,0,50,0,gain,risk_red_50.bmp,top
2.0,100,0.5,0,38,0,gain,risk_red_38.bmp,top
0.5,100,0.5,0,25,0,gain,risk_red_25.bmp,top
0.5,100,0.5,0,13,0,gain,risk_red_13.bmp,top
2.5,100,0,0.5,50,24,gain,ambig_24.bmp,bottom
0.5,100,0.5,0,50,50,gain,ambig_50.bmp,top
0.5,100,0.5,0,50,74,gain,ambig_74.bmp,top
19.0,100,0.5,0,75,0,gain,risk_red_75.bmp,top
5.0,100,0,0.5,50,0,gain,risk_blue_50.bmp,bottom
2.0,100,0.5,0,38,0,gain,risk_red_38.bmp,top
0.5,100,0,0.5,25,0,gain,risk_blue_25.bmp,bottom
0.5,100,0,0.5,13,0,gain,risk_blue_13.bmp,bottom
2.5,100,0.5,0,50,24,gain,ambig_24.bmp,top
0.5,100,0.5,0,50,50,gain,ambig_50.bmp,top
0.5,100,0,0.5,50,74,gain,ambig_74.bmp,bottom
19.0,100,0,1.5,75,0,gain,risk_blue_75.bmp,bottom
5.0,100,0,1.5,50,0,gain,risk_blue_50.bmp,bottom
2.0,100,0,1.5,38,0,gain,risk_blue_38.bmp,bottom
0.5,100,0,1.5,25,0,gain,risk_blue_25.bmp,bottom
0.5,100,1.5,0,13,0,gain,risk_red_13.bmp,top
2.5,100,0,1.5,50,24,gain,ambig_24.bmp,bottom
0.5,100,0,1.5,50,50,gain,ambig_50.bmp,bottom
0.5,100,0,1.5,50,74,gain,ambig_74.bmp,bottom
19.0,100,13.0,0,75,0,gain,risk_red_75.bmp,top
5.0,100,0,13.0,50,0,gain,risk_blue_50.bmp,bottom
2.0,100,13.0,0,38,0,gain,risk_red_38.bmp,top
0.5,100,13.0,0,25,0,gain,risk_red_25.bmp,top
0.5,100,0,13.0,13,0,gain,risk_blue_13.bmp,bottom
2.5,100,13.0,0,50,24,gain,ambig_24.bmp,top
0.5,100,13.0,0,50,50,gain,ambig_50.bmp,top
0.5,100,0,13.0,50,74,gain,ambig_74.bmp,bottom
19.0,100,0,27.0,75,0,gain,risk_blue_75.bmp,bottom
5.0,100,0,27.0,50,0,gain,risk_blue_50.bmp,bottom
2.0,100,27.0,0,38,0,gain,risk_red_38.bmp,top
0.5,100,27.0,0,25,0,gain,risk_red_25.bmp,top
0.5,100,0,27.0,13,0,gain,risk_blue_13.bmp,bottom
2.5,100,0,27.0,50,24,gain,ambig_24.bmp,bottom
0.5,100,0,27.0,50,50,gain,ambig_50.bmp,bottom
0.5,100,0,27.0,50,74,gain,ambig_74.bmp,bottom
2.0,100,3.0,0,75,0,gain,risk_red_75.bmp,top
0.5,100,3.0,0,50,0,gain,risk_red_50.bmp,top
0.5,100,3.0,0,38,0,gain,risk_red_38.bmp,top
0.5,100,3.0,0,25,0,gain,risk_red_25.bmp,top
0.5,100,3.0,0,13,0,gain,risk_red_13.bmp,top
0.5,100,0,3.0,50,24,gain,ambig_24.bmp,bottom
0.5,100,0,3.0,50,50,gain,ambig_50.bmp,bottom
0.5,100,0,3.0,50,74,gain,ambig_74.bmp,bottom
-36.5,100,-50.0,0,75,0,loss,risk_red_75.bmp,top
-23.0,100,-50.0,0,50,0,loss,risk_red_50.bmp,top
-17.0,100,-50.0,0,38,0,loss,risk_red_38.bmp,top
-10.5,100,-50.0,0,25,0,loss,risk_red_25.bmp,top
-5.0,100,0,-50.0,13,0,loss,risk_blue_13.bmp,bottom
-28.0,100,-50.0,0,50,24,loss,ambig_24.bmp,top
-33.0,100,-50.0,0,50,50,loss,ambig_50.bmp,top
-38.0,100,0,-50.0,50,74,loss,ambig_74.bmp,bottom
-36.5,100,0,0.5,75,0,loss,risk_blue_75.bmp,bottom
-23.0,100,0.5,0,50,0,loss,risk_red_50.bmp,top
-17.0,100,0,0.5,38,0,loss,risk_blue_38.bmp,bottom
-10.5,100,0.5,0,25,0,loss,risk_red_25.bmp,top
-5.0,100,0,0.5,13,0,loss,risk_blue_13.bmp,bottom
-28.0,100,0.5,0,50,24,loss,ambig_24.bmp,top
-33.0,100,0.5,0,50,50,loss,ambig_50.bmp,top
-38.0,100,0,0.5,50,74,loss,ambig_74.bmp,bottom
-36.5,100,0,-7.0,75,0,loss,risk_blue_75.bmp,bottom
-23.0,100,0,-7.0,50,0,loss,risk_blue_50.bmp,bottom
-17.0,100,-7.0,0,38,0,loss,risk_red_38.bmp,top
-10.5,100,-7.0,0,25,0,loss,risk_red_25.bmp,top
-5.0,100,-7.0,0,13,0,loss,risk_red_13.bmp,top
-28.0,100,-7.0,0,50,24,loss,ambig_24.bmp,top
-33.0,100,0,-7.0,50,50,loss,ambig_50.bmp,bottom
-38.0,100,0,-7.0,50,74,loss,ambig_74.bmp,bottom
-36.5,100,-14.5,0,75,0,loss,risk_red_75.bmp,top
-23.0,100,-14.5,0,50,0,loss,risk_red_50.bmp,top
-17.0,100,-14.5,0,38,0,loss,risk_red_38.bmp,top
-10.5,100,-14.5,0,25,0,loss,risk_red_25.bmp,top
-5.0,100,0,-14.5,13,0,loss,risk_blue_13.bmp,bottom
-28.0,100,-14.5,0,50,24,loss,ambig_24.bmp,top
-33.0,100,-14.5,0,50,50,loss,ambig_50.bmp,top
-38.0,100,-14.5,0,50,74,loss,ambig_74.bmp,top
-36.5,100,0,-32.0,75,0,loss,risk_blue_75.bmp,bottom
-23.0,100,-32.0,0,50,0,loss,risk_red_50.bmp,top
-17.0,100,-32.0,0,38,0,loss,risk_red_38.bmp,top
-10.5,100,0,-32.0,25,0,loss,risk_blue_25.bmp,bottom
-5.0,100,0,-32.0,13,0,loss,risk_blue_13.bmp,bottom
-28.0,100,-32.0,0,50,24,loss,ambig_24.bmp,top
-33.0,100,0,-32.0,50,50,loss,ambig_50.bmp,bottom
-38.0,100,0,-32.0,50,74,loss,ambig_74.bmp,bottom
-36.5,100,-41.0,0,75,0,loss,risk_red_75.bmp,top
-23.0,100,0,-41.0,50,0,loss,risk_blue_50.bmp,bottom
-17.0,100,0,-41.0,38,0,loss,risk_blue_38.bmp,bottom
-10.5,100,-41.0,0,25,0,loss,risk_red_25.bmp,top
-5.0,100,-41.0,0,13,0,loss,risk_red_13.bmp,top
-28.0,100,0,-41.0,50,24,loss,ambig_24.bmp,bottom
-33.0,100,-41.0,0,50,50,loss,ambig_50.bmp,top
-38.0,100,0,-41.0,50,74,loss,ambig_74.bmp,bottom
-16.5,100,0,-25.0,75,0,loss,risk_blue_75.bmp,bottom
-10.5,100,0,-25.0,50,0,loss,risk_blue_50.bmp,bottom
-8.0,100,0,-25.0,38,0,loss,risk_blue_38.bmp,bottom
-5.0,100,-25.0,0,25,0,loss,risk_red_25.bmp,top
-2.5,100,0,-25.0,13,0,loss,risk_blue_13.bmp,bottom
-13.0,100,-25.0,0,50,24,loss,ambig_24.bmp,top
-15.5,100,-25.0,0,50,50,loss,ambig_50.bmp,top
-17.5,100,-25.0,0,50,74,loss,ambig_74.bmp,top
