crdm_sure_amt,crdm_sure_p,crdm_lott_top,crdm_lott_bot,crdm_lott_p,crdm_amb_lev,crdm_domain,crdm_img,crdm_win_side
0.50,100,0.00,1.00,13,0,gain,risk_blue_13.bmp,bottom
0.50,100,33.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,0.00,20.50,13,0,gain,risk_blue_13.bmp,bottom
0.50,100,0.00,50.00,13,0,gain,risk_blue_13.bmp,bottom
0.50,100,9.00,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,4.50,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,11.00,0.00,13,0,gain,risk_red_13.bmp,top
0.50,100,0.00,0.50,13,0,gain,risk_blue_13.bmp,bottom
0.50,100,0.00,13.00,13,0,gain,risk_blue_13.bmp,bottom
0.50,100,33.50,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,0.00,11.00,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,4.50,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,1.00,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,13.00,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,20.50,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,50.00,0.00,25,0,gain,risk_red_25.bmp,top
0.50,100,0.00,0.50,25,0,gain,risk_blue_25.bmp,bottom
0.50,100,0.00,9.00,25,0,gain,risk_blue_25.bmp,bottom
1.50,100,13.00,0.00,38,0,gain,risk_red_38.bmp,top
1.50,100,0.00,1.00,38,0,gain,risk_blue_38.bmp,bottom
1.50,100,0.50,0.00,38,0,gain,risk_red_38.bmp,top
1.50,100,33.50,0.00,38,0,gain,risk_red_38.bmp,top
1.50,100,50.00,0.00,38,0,gain,risk_red_38.bmp,top
1.50,100,0.00,11.00,38,0,gain,risk_blue_38.bmp,bottom
1.50,100,0.00,9.00,38,0,gain,risk_blue_38.bmp,bottom
1.50,100,20.50,0.00,38,0,gain,risk_red_38.bmp,top
1.50,100,0.00,4.50,38,0,gain,risk_blue_38.bmp,bottom
2.50,100,9.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,0.00,13.00,50,0,gain,risk_blue_50.bmp,bottom
2.50,100,11.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,33.50,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,1.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,4.50,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,50.00,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,20.50,0.00,50,0,gain,risk_red_50.bmp,top
2.50,100,0.50,0.00,50,0,gain,risk_red_50.bmp,top
6.00,100,0.00,0.50,75,0,gain,risk_blue_75.bmp,bottom
6.00,100,0.00,13.00,75,0,gain,risk_blue_75.bmp,bottom
6.00,100,0.00,1.00,75,0,gain,risk_blue_75.bmp,bottom
6.00,100,0.00,33.50,75,0,gain,risk_blue_75.bmp,bottom
6.00,100,4.50,0.00,75,0,gain,risk_red_75.bmp,top
6.00,100,0.00,11.00,75,0,gain,risk_blue_75.bmp,bottom
6.00,100,20.50,0.00,75,0,gain,risk_red_75.bmp,top
6.00,100,9.00,0.00,75,0,gain,risk_red_75.bmp,top
6.00,100,0.00,50.00,75,0,gain,risk_blue_75.bmp,bottom
1.50,100,33.50,0.00,50,24,gain,risk_red_50.bmp,top
1.50,100,0.00,9.00,50,24,gain,risk_blue_50.bmp,bottom
1.50,100,13.00,0.00,50,24,gain,risk_red_50.bmp,top
1.50,100,11.00,0.00,50,24,gain,risk_red_50.bmp,top
1.50,100,1.00,0.00,50,24,gain,risk_red_50.bmp,top
1.50,100,0.00,0.50,50,24,gain,risk_blue_50.bmp,bottom
1.50,100,0.00,50.00,50,24,gain,risk_blue_50.bmp,bottom
1.50,100,20.50,0.00,50,24,gain,risk_red_50.bmp,top
1.50,100,4.50,0.00,50,24,gain,risk_red_50.bmp,top
0.50,100,0.00,13.00,50,50,gain,risk_blue_50.bmp,bottom
0.50,100,33.50,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,11.00,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,0.50,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,0.00,1.00,50,50,gain,risk_blue_50.bmp,bottom
0.50,100,50.00,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,4.50,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,9.00,0.00,50,50,gain,risk_red_50.bmp,top
0.50,100,0.00,20.50,50,50,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,33.50,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,13.00,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,11.00,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,9.00,0.00,50,74,gain,risk_red_50.bmp,top
0.50,100,0.00,20.50,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,0.50,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,50.00,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,0.00,1.00,50,74,gain,risk_blue_50.bmp,bottom
0.50,100,4.50,0.00,50,74,gain,risk_red_50.bmp,top
-1.50,100,-0.50,0.00,13,0,loss,risk_red_13.bmp,top
-1.50,100,-12.50,0.00,13,0,loss,risk_red_13.bmp,top
-1.50,100,0.00,-5.00,13,0,loss,risk_blue_13.bmp,bottom
-1.50,100,0.00,-50.00,13,0,loss,risk_blue_13.bmp,bottom
-1.50,100,-39.50,0.00,13,0,loss,risk_red_13.bmp,top
-1.50,100,0.00,-30.00,13,0,loss,risk_blue_13.bmp,bottom
-3.50,100,-50.00,0.00,25,0,loss,risk_red_25.bmp,top
-3.50,100,0.00,-39.50,25,0,loss,risk_blue_25.bmp,bottom
-3.50,100,0.00,-5.00,25,0,loss,risk_blue_25.bmp,bottom
-3.50,100,0.00,-20.50,25,0,loss,risk_blue_25.bmp,bottom
-3.50,100,-30.00,0.00,25,0,loss,risk_red_25.bmp,top
-3.50,100,-0.50,0.00,25,0,loss,risk_red_25.bmp,top
-3.50,100,0.00,-12.50,25,0,loss,risk_blue_25.bmp,bottom
-6.00,100,-5.00,0.00,38,0,loss,risk_red_38.bmp,top
-6.00,100,-30.00,0.00,38,0,loss,risk_red_38.bmp,top
-6.00,100,-12.50,0.00,38,0,loss,risk_red_38.bmp,top
-6.00,100,0.00,-0.50,38,0,loss,risk_blue_38.bmp,bottom
-6.00,100,0.00,-39.50,38,0,loss,risk_blue_38.bmp,bottom
-6.00,100,0.00,-50.00,38,0,loss,risk_blue_38.bmp,bottom
-8.50,100,0.00,-30.00,50,0,loss,risk_blue_50.bmp,bottom
-8.50,100,0.00,-39.50,50,0,loss,risk_blue_50.bmp,bottom
-8.50,100,0.00,-50.00,50,0,loss,risk_blue_50.bmp,bottom
-8.50,100,-5.00,0.00,50,0,loss,risk_red_50.bmp,top
-8.50,100,0.00,-12.50,50,0,loss,risk_blue_50.bmp,bottom
-8.50,100,0.00,-0.50,50,0,loss,risk_blue_50.bmp,bottom
-14.50,100,0.00,-12.50,75,0,loss,risk_blue_75.bmp,bottom
-14.50,100,0.00,-0.50,75,0,loss,risk_blue_75.bmp,bottom
-14.50,100,0.00,-5.00,75,0,loss,risk_blue_75.bmp,bottom
-14.50,100,-30.00,0.00,75,0,loss,risk_red_75.bmp,top
-14.50,100,0.00,-39.50,75,0,loss,risk_blue_75.bmp,bottom
-14.50,100,-50.00,0.00,75,0,loss,risk_red_75.bmp,top
-5.50,100,0.00,-12.50,50,24,loss,risk_blue_50.bmp,bottom
-5.50,100,-39.50,0.00,50,24,loss,risk_red_50.bmp,top
-5.50,100,0.00,-30.00,50,24,loss,risk_blue_50.bmp,bottom
-5.50,100,-0.50,0.00,50,24,loss,risk_red_50.bmp,top
-5.50,100,-5.00,0.00,50,24,loss,risk_red_50.bmp,top
-5.50,100,0.00,-50.00,50,24,loss,risk_blue_50.bmp,bottom
-2.50,100,-30.00,0.00,50,50,loss,risk_red_50.bmp,top
-2.50,100,-12.50,0.00,50,50,loss,risk_red_50.bmp,top
-2.50,100,0.00,-5.00,50,50,loss,risk_blue_50.bmp,bottom
-2.50,100,-39.50,0.00,50,50,loss,risk_red_50.bmp,top
-2.50,100,0.00,-0.50,50,50,loss,risk_blue_50.bmp,bottom
-2.50,100,0.00,-50.00,50,50,loss,risk_blue_50.bmp,bottom
-0.50,100,-30.00,0.00,50,74,loss,risk_red_50.bmp,top
-0.50,100,-12.50,0.00,50,74,loss,risk_red_50.bmp,top
-0.50,100,0.00,-39.50,50,74,loss,risk_blue_50.bmp,bottom
-0.50,100,-5.00,0.00,50,74,loss,risk_red_50.bmp,top
-0.50,100,-0.50,0.00,50,74,loss,risk_red_50.bmp,top
-0.50,100,-50.00,0.00,50,74,loss,risk_red_50.bmp,top
-0.50,100,0.00,-22.50,50,74,loss,risk_blue_50.bmp,bottom
