p_reward,value_reward
0.87,5.45
0.87,4.36
0.87,3.27
0.87,2.18
0.87,1.09
0.87,0.0
0.87,-1.09
0.87,-2.18
0.87,-3.27
0.87,-4.36
0.75,7.35
0.75,5.88
0.75,4.41
0.75,2.94
0.75,1.47
0.75,0.0
0.75,-1.47
0.75,-2.94
0.75,-4.41
0.75,-5.88
0.62,10.79
0.62,8.63
0.62,6.47
0.62,4.32
0.62,2.16
0.62,0.0
0.62,-2.16
0.62,-4.32
0.62,-6.47
0.62,-8.63
0.5,16.67
0.5,13.33
0.5,10.0
0.5,6.67
0.5,3.33
0.5,-0.0
0.5,-3.33
0.5,-6.67
0.5,-10.0
0.5,-13.33
0.38,29.01
0.38,23.21
0.38,17.41
0.38,11.6
0.38,5.8
0.38,0.0
0.38,-5.8
0.38,-11.6
0.38,-17.4
0.38,-23.21
0.25,67.54
0.25,54.03
0.25,40.52
0.25,27.02
0.25,13.51
0.25,-0.0
0.25,-13.51
0.25,-27.02
0.25,-40.53
0.25,-54.03
0.13,252.9
0.13,202.32
0.13,151.74
0.13,101.16
0.13,50.58
0.13,-0.0
0.13,-50.58
0.13,-101.16
0.13,-151.74
0.13,-202.32
